Flight Num,Dep time,arrival time,dep city ,arrival city,departure date,first name,last name,Sky Mile number,twitter account,phone number,email
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Keri,Abraham,400389268,@Keri1203,(855) 975-8692,Keri.Abraham@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Lyda,Allan,252637152,@Lyda235,(844) 486-6654,Lyda.Allan@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Leann,Alsop,515623423,@Leann946,(844) 389-9818,Leann.Alsop@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Ethel,Anderson,217419709,@Ethel1002,(822) 684-5997,Ethel.Anderson@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Marica,Arnold,94357935,@Marica1203,(811) 737-3207,Marica.Arnold@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Meagan,Avery,684510082,@Meagan235,(822) 833-5979,Meagan.Avery@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Junko,Bailey,156622968,@Junko946,(855) 681-5092,Junko.Bailey@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Jene,Baker,700876550,@Jene1002,(822) 872-7606,Jene.Baker@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Elease,Ball,874628180,@Elease1203,(844) 347-5542,Elease.Ball@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Ernie,Bell,400625249,@Ernie235,(844) 769-6389,Ernie.Bell@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Libbie,Berry,22348664,@Libbie946,(899) 706-8095,Libbie.Berry@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Gala,Black,504342737,@Gala1002,(811) 686-3837,Gala.Black@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Lennie,Blake,254390793,@Lennie1203,(855) 858-3907,Lennie.Blake@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Lia,Bond,469581143,@Lia235,(822) 774-0641,Lia.Bond@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Alvina,Bower,943742573,@Alvina946,(844) 482-5773,Alvina.Bower@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Laure,Brown,392023119,@Laure1002,(844) 507-4456,Laure.Brown@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Kymberly,Buckland,772526266,@Kymberly1203,(855) 046-0548,Kymberly.Buckland@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Zachary,Burgess,943052144,@Zachary235,(855) 133-7751,Zachary.Burgess@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Dagny,Butler,732727113,@Dagny946,(855) 337-1115,Dagny.Butler@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Blake,Cameron,213923891,@Blake1002,(822) 131-5888,Blake.Cameron@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Kelsey,Campbell,744024218,@Kelsey1203,(811) 249-8881,Kelsey.Campbell@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Sena,Carr,920700667,@Sena235,(899) 157-8190,Sena.Carr@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Aide,Chapman,509792139,@Aide946,(844) 286-4921,Aide.Chapman@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Julene,Churchill,783263665,@Julene1002,(899) 526-4054,Julene.Churchill@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Royce,Clark,903062583,@Royce1203,(844) 932-8138,Royce.Clark@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Aida,Clarkson,618881123,@Aida235,(855) 951-0525,Aida.Clarkson@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Tu,Coleman,223120398,@Tu946,(822) 012-0431,Tu.Coleman@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Vonnie,Cornish,229462657,@Vonnie1002,(899) 574-5289,Vonnie.Cornish@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Hettie,Davidson,21581336,@Hettie1203,(855) 210-4597,Hettie.Davidson@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Alaine,Davies,283944256,@Alaine235,(844) 594-0208,Alaine.Davies@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Zofia,Dickens,120216050,@Zofia946,(822) 346-8171,Zofia.Dickens@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Carlotta,Dowd,804095738,@Carlotta1002,(844) 732-8307,Carlotta.Dowd@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Minda,Duncan,736723768,@Minda1203,(822) 809-8082,Minda.Duncan@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Eleonor,Dyer,786360915,@Eleonor235,(833) 745-4061,Eleonor.Dyer@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Elenore,Edmunds,726150494,@Elenore946,(844) 072-2447,Elenore.Edmunds@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Russell,Ellison,200611634,@Russell1002,(855) 790-1988,Russell.Ellison@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Fritz,Ferguson,380649767,@Fritz1203,(822) 986-9685,Fritz.Ferguson@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Niesha,Fisher,88251133,@Niesha235,(844) 308-4798,Niesha.Fisher@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Nicky,Forsyth,337241546,@Nicky946,(822) 711-2584,Nicky.Forsyth@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Winona,Fraser,908834505,@Winona1002,(844) 754-7435,Winona.Fraser@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Madonna,Gibson,931632354,@Madonna1203,(844) 124-7192,Madonna.Gibson@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Sherly,Gill,841576479,@Sherly235,(833) 009-8086,Sherly.Gill@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Palmer,Glover,685228237,@Palmer946,(822) 070-5549,Palmer.Glover@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Terese,Graham,595498818,@Terese1002,(855) 940-4768,Terese.Graham@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Luigi,Grant,890364970,@Luigi1203,(822) 825-9274,Luigi.Grant@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Micheal,Gray,922789934,@Micheal235,(844) 841-8276,Micheal.Gray@memail.com
946,8:45 AM,12:30 PM,BOS,MIA,9/26/2015,Alphonso,Greene,612898198,@Alphonso946,(855) 468-0173,Alphonso.Greene@memail.com
1002,2:30 PM,11:00 PM,LAX,ATL,9/26/2015,Corinne,Hamilton,741009498,@Corinne1002,(899) 145-9047,Corinne.Hamilton@memail.com
1203,9:00 AM,12:00 AM,ATL,MSP,9/26/2015,Tynisha,Hardacre,701632755,@Tynisha1203,(811) 638-9132,Tynisha.Hardacre@memail.com
235,12:30 PM,4:00 AM,ATL,HLN,9/26/2015,Barb,Harris,575893131,@Barb235,(811) 748-9152,Barb.Harris@memail.com
